Страна,ВВП,Отношение к общему ВВП (%),Население,Отношение к общему населению (%),ВВП на душу населения,Скорость обращения накоплений(x100),Промежуточное потребление,Доля промышленности,Стоимость гос. субсидий,Доля субсируемых предприятий (%),Средняя доходность предприятия,Средняя рентабельность предприятия (%),Индекс Джини,Валовый выпуск,Занятость на фабриках,Безработица на заводах,Средняя занятость добывающего сектора,Безработица на добывающем секторе,Средняя з/п рабочего на фабрике,Средний доход капиталиста,Общее число рабочего населения,Количество свободных рабочих мест на фабриках,Грамотность,Диверсифицированность экономики,Наземный бюджет,Иновационность армии,Морской бюджет,Иновационность флота,Золотой запас,Золотодобыча,Доля ввп в 4-x крупнейших регионах,Размер страны в регионах,Экономическая плотность (ввп на регион),Плотность населения (население на регион),Тип правления,Общая денежная масса,Средние сбережения населения,Запасы гос.банка
ASM,164,0.04,4230012,0.2,3.877,0.037,23,0.0,0.0,0.0,0.0,0.0,0.51,371,0,0.0,959433.0,0.0,0.0,0.0,959433.0,0,51.15,2.41,15,6.0,0,0.0,443258.381,0,1.0,1,164.0,4230012.0,absolute_monarchy,443396.381,0.033,0.0
GHN,159,0.03,6987508,0.33,2.275,0.008,9,0.0,0.0,0.0,0.0,0.0,0.432,1002,0,0.0,1357382.0,12.55,0.0,0.0,1357382.0,0,63.84,1.678,1,0.0,51,0.0,2025180.023,439,0.994,2,79.5,3493754.0,democracy,2025924.023,0.106,0.0
XBI,157,0.03,1836724,0.09,8.548,0.567,5,0.0,0.0,0.0,-1.105,-31.4,0.355,255,693,67.37,433143.0,0.0,0.0,0.0,433836.0,19307,17.07,0.099,36,12.0,0,10.0,27581.44,0,1.0,1,157.0,1836724.0,absolute_monarchy,27679.44,0.053,0.0
BUK,149,0.03,5582144,0.27,2.669,85.065,11,0.0,0.0,0.0,0.0,0.0,0.485,344,0,0.0,1309684.0,0.46,0.0,0.0,1309684.0,0,8.05,2.414,22,6.0,0,0.0,19.69,0,0.98,4,37.25,1395536.0,absolute_monarchy,175.16,0.022,31.47
KNY,107,0.02,2677428,0.13,3.996,0.023,5,0.0,0.0,0.0,0.0,0.0,0.345,226,0,0.0,538505.0,12.92,0.0,0.0,538505.0,0,57.24,2.343,0,2.0,4,0.0,470311.951,0,0.991,2,53.5,1338714.0,democracy,470400.971,0.033,0.02
AZB,106,0.02,783580,0.04,13.528,0.024,70,0.0,12.37,66.67,-7.703,-35.4,0.247,204,21901,2.46,122166.0,22.18,0.0,-2.9,144067.0,38099,36.14,0.005,9,40.0,0,14.0,433988.102,0,1.0,1,106.0,783580.0,democracy,434086.102,0.125,0.0
CRI,80,0.02,624236,0.03,12.816,0.026,5,0.0,0.0,0.0,-0.232,-11.0,0.431,150,316,91.95,111415.0,16.87,0.0,-0.1,111731.0,39684,45.99,0.077,19,40.0,12,14.0,305031.241,0,1.0,1,80.0,624236.0,democracy,305307.921,0.096,216.68
KAZ,77,0.02,2720572,0.13,2.83,0.015,20,0.0,0.0,0.0,0.0,0.0,0.466,250,0,100.0,557643.0,8.15,0.0,0.0,557643.0,0,25.68,3.139,0,0.0,0,0.0,501250.548,24,0.974,3,25.667,906857.0,democracy,501363.518,0.041,0.97
EST,72,0.02,949556,0.05,7.582,0.017,9,0.0,0.0,0.0,-1.207,-49.7,0.374,227,1287,92.84,165172.0,11.51,0.0,-0.0,166459.0,48713,93.42,0.176,74,40.0,11,14.0,421906.359,0,1.0,1,72.0,949556.0,democracy,421940.359,0.036,0.0
CRS,67,0.01,448544,0.02,14.937,0.78,7,0.0,0.0,0.0,0.0,0.0,0.145,92,0,100.0,94963.0,0.0,0.0,0.0,94963.0,30000,76.87,1.357,0,40.0,0,22.0,8080.901,0,1.0,1,67.0,448544.0,democracy,8584.671,0.103,457.77
MON,65,0.01,508260,0.02,12.789,0.568,8,0.0,0.0,0.0,-0.418,-24.5,0.185,158,724,87.62,92907.0,5.34,0.629,1.0,93631.0,39276,77.45,0.06,12,40.0,6,12.0,11384.355,0,1.0,1,65.0,508260.0,fascist_dictatorship,11434.355,0.098,0.0
HAI,65,0.01,912980,0.04,7.12,16.868,3,0.0,0.0,0.0,0.0,0.0,0.279,253,0,100.0,192366.0,0.0,0.0,0.0,192366.0,20000,53.69,4.215,12,38.0,21,0.0,346.341,0,1.0,1,65.0,912980.0,fascist_dictatorship,385.341,0.043,0.0
MLY,63,0.01,1450908,0.07,4.342,0.004,47,0.0,0.0,0.0,-7.92,-46.3,0.501,315,14977,70.55,268892.0,0.54,0.0,-0.4,283869.0,45023,98.47,0.017,12,2.0,27,0.0,1531176.23,93,0.984,2,31.5,725454.0,presidential_dictatorship,1531889.29,0.131,523.06
DOM,60,0.01,1053572,0.05,5.695,0.471,18,0.0,0.0,0.0,-6.513,-90.7,0.166,204,1682,85.48,215466.0,0.0,0.0,0.0,217148.0,38318,17.99,0.28,0,36.0,6,8.0,12700.885,0,1.0,1,60.0,1053572.0,presidential_dictatorship,12737.905,0.035,0.02
BER,50,0.01,3390024,0.16,1.475,67.906,49,0.0,0.0,0.0,0.0,0.0,0.426,629,0,0.0,570237.0,1.76,0.0,0.0,570237.0,0,22.38,12.414,0,4.0,0,2.0,27.631,0,1.0,1,50.0,3390024.0,absolute_monarchy,73.631,0.014,0.0
CHD,44,0.01,1903700,0.09,2.311,0.009,9,0.0,0.0,0.0,0.0,0.0,0.301,129,0,0.0,399243.0,6.52,0.0,0.0,399243.0,0,57.96,3.195,0,4.0,0,0.0,482074.274,0,0.977,2,22.0,951850.0,democracy,482108.384,0.018,0.11
NGR,43,0.01,9244796,0.44,0.465,0.01,49,0.0,0.0,0.0,0.0,0.0,0.93,562,0,0.0,91204.0,95.4,0.0,0.0,91204.0,0,45.49,13.281,0,2.0,22,0.0,413029.303,0,1.0,1,43.0,9244796.0,democracy,413067.303,0.004,0.0
EGY,39,0.01,388400,0.02,10.041,0.022,29,0.0,0.0,0.0,-3.57,-13.8,0.353,115,4948,26.52,66566.0,12.19,0.227,1103.4,71514.0,15052,69.74,0.005,8,34.0,6,14.0,179536.806,0,1.0,1,39.0,388400.0,prussian_constitutionalism,179605.526,0.09,33.72
MGL,36,0.01,1329008,0.06,2.709,37.501,3,0.0,0.0,0.0,0.0,0.0,0.419,79,0,0.0,312971.0,0.0,0.0,0.0,312971.0,0,8.16,2.945,0,4.0,0,0.0,0.087,0,1.0,2,18.0,664504.0,absolute_monarchy,95.997,0.023,65.91
SLE,34,0.01,4196016,0.2,0.81,0.008,4,0.0,0.0,0.0,0.0,0.0,0.76,205,0,0.0,240000.0,75.33,0.0,0.0,240000.0,0,33.76,6.096,0,2.0,6,0.0,435553.587,0,1.0,1,34.0,4196016.0,democracy,435584.587,0.007,0.0
COS,34,0.01,995868,0.05,3.414,0.004,83,0.0,0.0,0.0,-5.467,-39.4,0.557,478,36555,53.37,137073.0,0.34,0.0,0.0,173628.0,93445,97.1,0.01,51,40.0,42,14.0,812883.726,150,1.0,1,34.0,995868.0,democracy,813131.466,0.137,111.74
TOG,31,0.01,933448,0.04,3.321,0.006,0,0.0,0.0,0.0,0.0,0.0,0.287,73,0,0.0,178455.0,17.6,0.0,0.0,178455.0,0,29.18,2.312,0,0.0,4,0.0,479943.146,0,1.0,1,31.0,933448.0,democracy,479970.156,0.029,0.01
JOD,29,0.01,978032,0.05,2.965,126.081,34,0.0,0.0,0.0,0.0,0.0,0.324,121,0,0.0,199830.0,0.0,0.0,0.0,199830.0,0,48.31,5.865,0,6.0,0,0.0,0.001,0,1.0,1,29.0,978032.0,absolute_monarchy,23.001,0.024,0.0
LBY,27,0.01,2031448,0.1,1.329,0.006,1,0.0,0.0,0.0,0.0,0.0,0.529,85,0,0.0,283835.0,41.42,0.0,0.0,283835.0,0,14.31,3.572,0,0.0,4,0.0,487879.829,0,0.963,2,13.5,1015724.0,absolute_monarchy,487903.859,0.012,0.03
NEW,27,0.01,312504,0.01,8.64,0.919,10,0.04,0.0,0.0,-4.066,-82.3,0.565,65,14821,51.99,31642.0,11.56,0.453,55.2,46463.0,45179,99.68,0.037,0,40.0,0,32.0,2735.057,0,1.0,1,27.0,312504.0,hms_government,2936.997,0.029,192.94
MYS,26,0.01,1228948,0.06,2.116,5.988,2,0.0,0.0,0.0,0.0,0.0,0.172,98,0,0.0,275286.0,0.0,0.0,0.0,275286.0,0,29.64,3.807,2,6.0,0,0.0,413.203,0,1.0,1,26.0,1228948.0,absolute_monarchy,434.203,0.017,0.0
MLW,25,0.01,650184,0.03,3.845,0.005,5,0.0,0.0,0.0,0.0,0.0,0.25,67,0,0.0,144036.0,0.0,0.0,0.0,144036.0,0,46.99,2.795,0,2.0,0,0.0,505288.681,0,1.0,1,25.0,650184.0,democracy,505311.681,0.035,0.0
PNM,24,0.01,97488,0.0,24.618,0.008,0,0.0,0.0,0.0,0.0,0.0,0.305,50,0,100.0,16473.0,0.0,0.0,0.0,16473.0,40000,85.44,2.004,0,40.0,11,32.0,279358.463,0,1.0,1,24.0,97488.0,democracy,299726.743,0.133,20355.28
LUA,19,0.0,522220,0.02,3.638,5.969,5,0.0,0.0,0.0,0.0,0.0,0.392,48,0,100.0,94135.0,18.49,0.0,0.0,94135.0,0,11.78,2.438,0,6.0,0,0.0,1.541,0,1.0,1,19.0,522220.0,absolute_monarchy,318.331,0.031,300.79
HAW,17,0.0,94964,0.0,17.902,1.076,0,0.0,0.0,0.0,0.0,0.0,0.164,33,0,100.0,19302.0,0.0,0.0,0.0,19302.0,20000,100.0,1.898,0,40.0,0,32.0,1557.096,0,1.0,1,17.0,94964.0,proletarian_dictatorship,1579.766,0.095,13.67
MLT,14,0.0,243888,0.01,5.74,0.024,2,0.0,0.0,0.0,0.0,0.0,0.398,34,0,100.0,20000.0,42.08,0.0,0.0,20000.0,40000,100.0,2.365,0,40.0,5,34.0,58487.966,0,1.0,1,14.0,243888.0,hms_government,58496.966,0.037,0.0
BIK,14,0.0,857180,0.04,1.633,1.407,1,0.0,0.0,0.0,0.0,0.0,0.094,54,0,0.0,192126.0,0.0,0.0,0.0,192126.0,0,36.23,3.621,2,6.0,0,0.0,983.275,0,1.0,1,14.0,857180.0,absolute_monarchy,995.275,0.014,0.0
OMA,12,0.0,210336,0.01,5.705,0.592,0,0.0,0.0,0.0,0.0,0.0,0.455,25,0,0.0,42825.0,0.0,0.0,0.0,42825.0,0,16.24,3.032,0,34.0,0,14.0,0.0,0,0.917,3,4.0,70112.0,absolute_monarchy,2025.41,0.033,2018.41
TIB,11,0.0,592308,0.03,1.857,62.348,2,0.0,0.0,0.0,0.0,0.0,0.548,51,0,0.0,115005.0,0.0,0.0,0.0,115005.0,0,22.68,5.237,0,4.0,0,0.0,8.283,0,1.0,1,11.0,592308.0,absolute_monarchy,17.643,0.015,0.36
